Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230910;1;-;-;-;-;-;1;1;-;-;-;1
230920;-;-;1;-;-;-;-;-;3;-;-;1
230930;1;1;-;1;3;-;2;-;2;1;-;1
230940;-;-;-;-;-;-;1;-;1;3;-;1
230945;-;-;-;1;-;-;-;-;-;-;1;2
230950;1;2;-;-;-;1;-;-;1;-;-;2
230960;-;-;-;1;2;1;1;1;-;1;1;3
230970;2;-;2;3;1;3;-;1;1;1;-;1
230980;-;-;-;1;-;-;-;-;-;-;-;1
230990;-;1;-;-;-;1;-;-;-;1;1;-
231000;-;-;1;-;-;1;1;-;-;-;-;1
231010;-;-;1;2;-;-;-;-;-;-;1;1
231020;-;1;1;-;-;1;-;1;-;-;-;-
231025;-;1;-;-;-;-;-;1;1;-;-;-
231030;-;2;2;-;2;-;3;2;1;3;1;2
231040;1;-;-;-;-;-;-;1;-;2;-;-
231050;2;1;2;-;1;2;-;2;1;2;-;2
231060;-;-;-;-;-;-;1;1;-;-;-;-
231070;1;1;1;1;4;1;1;3;-;1;-;4
231080;-;1;-;-;1;-;-;-;-;3;3;2
231085;2;2;2;1;1;-;-;-;1;2;-;-
231090;-;3;1;-;-;-;-;1;1;-;1;1
231095;-;1;-;-;-;-;-;2;1;-;1;-
231100;2;3;-;-;1;1;2;-;-;1;1;-
231110;-;-;-;-;-;2;1;-;1;1;2;-
231120;1;-;1;-;-;-;-;1;-;-;1;-
231123;-;-;-;-;1;-;-;-;-;-;-;-
231126;-;2;2;1;-;1;1;1;-;1;-;-
231130;3;1;-;1;4;2;1;4;-;-;3;2
231135;-;-;1;-;-;-;1;-;-;-;1;-
231140;-;4;6;1;4;4;2;2;4;5;2;5
231150;-;1;1;-;-;1;-;2;-;-;1;-
231160;4;3;1;2;1;1;1;3;1;2;-;1
231170;-;-;-;-;1;-;-;1;-;-;-;-
231180;3;-;2;1;3;2;-;3;2;3;1;3
231190;1;-;1;1;1;-;-;2;2;-;-;-
231195;-;-;-;-;-;-;-;1;-;1;-;1
231220;-;1;1;1;2;1;1;1;-;2;-;1
231200;1;1;-;-;3;2;3;2;1;-;1;-
231210;-;-;1;-;1;-;1;-;1;2;1;2
231230;-;2;6;1;1;4;2;2;2;3;4;-
231240;-;2;-;-;-;-;-;1;2;2;-;2
231250;-;-;-;1;-;2;-;1;-;1;1;-
231260;1;-;1;-;-;-;-;-;-;-;-;-
231270;1;1;3;2;2;-;1;-;1;2;2;-
231280;1;1;-;-;-;-;1;-;-;-;-;1
231290;6;8;3;-;5;7;5;2;3;4;1;9
231300;1;-;-;-;-;-;-;1;-;-;-;-
231310;1;1;1;1;-;1;-;-;2;-;-;2
231320;-;3;1;-;2;-;-;-;-;-;1;-
231325;-;-;1;-;-;-;-;-;-;-;1;-
231330;4;1;1;2;1;1;2;2;4;5;1;4
231340;6;2;2;1;4;1;1;2;2;-;-;1
231350;1;1;-;-;2;1;-;1;1;2;2;-
231360;-;-;3;-;2;-;1;1;2;1;2;-
231370;-;1;-;-;1;-;-;-;-;-;1;2
231375;-;-;-;1;-;-;-;1;-;-;-;-
231380;2;1;-;-;1;1;-;-;-;1;-;-
231390;1;-;1;1;-;-;-;1;-;-;1;-
231395;1;1;-;-;-;-;2;1;1;-;2;1
231400;-;2;1;1;-;-;-;2;2;1;-;-
231410;1;3;1;1;-;1;-;1;2;2;-;1
