Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230880;2;-;2;-;1;2;-;1;1;-;1;2
230890;2;1;3;1;5;1;-;3;1;2;2;4
230900;1;2;-;1;-;2;4;-;2;1;1;-
230910;1;-;-;1;1;1;-;-;2;1;3;2
230920;3;1;-;-;-;4;1;3;1;3;1;-
230930;1;2;-;3;-;2;-;4;4;1;6;6
230940;6;2;3;-;-;7;2;1;5;3;2;2
230945;2;3;2;-;1;1;3;4;4;-;2;1
230950;1;1;-;2;1;1;2;3;1;4;3;2
230960;10;9;9;12;8;4;10;5;8;5;3;9
230970;9;7;3;6;3;3;3;6;7;6;7;5
230980;-;-;1;-;-;-;1;-;2;3;1;1
230990;-;-;1;-;1;1;1;1;-;-;-;-
231000;1;1;2;1;2;-;-;1;2;-;-;2
231010;1;-;1;-;-;-;-;1;-;-;-;-
231020;5;2;6;2;2;3;1;4;1;2;1;-
231025;1;2;2;3;3;1;1;1;1;2;-;5
231030;4;3;6;1;1;3;1;2;5;-;-;9
231040;-;1;-;-;1;2;-;1;2;-;-;2
231050;4;2;6;6;3;6;2;3;2;3;1;8
231060;-;1;3;-;-;1;-;2;-;-;1;-
231070;3;3;2;-;4;2;1;1;3;1;3;4
231080;3;-;2;-;-;-;-;2;2;1;1;-
231085;3;1;2;2;4;-;2;-;3;-;2;3
231090;-;1;1;2;1;2;-;-;1;1;2;1
231095;1;-;-;-;1;-;-;-;-;-;-;-
231100;-;-;2;-;1;-;1;1;1;-;1;-
231110;1;2;1;1;1;2;1;-;1;-;-;-
231120;-;-;-;1;2;-;1;1;1;1;-;-
231123;-;-;2;-;2;-;-;-;-;-;2;-
231126;1;1;-;1;-;-;-;1;2;-;1;1
231130;4;8;8;4;12;10;9;6;7;6;7;10
231135;1;1;1;2;1;1;1;1;-;2;2;1
231140;6;4;5;7;14;11;7;5;6;3;8;4
231150;6;3;1;6;5;3;2;5;2;7;3;4
231160;4;1;5;1;3;1;4;-;9;2;1;6
231170;1;5;4;2;1;3;1;-;5;3;2;-
231180;12;14;6;9;12;14;17;9;4;7;7;13
231190;-;1;-;-;3;3;1;-;1;2;1;2
231195;-;1;2;-;-;1;-;-;-;1;1;1
231220;3;3;5;1;1;4;-;4;7;-;3;5
231200;2;1;-;-;-;2;1;2;3;2;1;5
231210;1;2;2;1;2;2;-;3;1;-;1;1
231230;5;4;3;7;1;3;1;3;4;4;3;4
231240;4;5;5;3;7;6;7;4;3;3;5;4
231250;2;1;-;-;1;1;1;-;2;2;1;1
231260;2;-;-;1;1;-;1;2;2;-;2;2
231270;7;2;5;2;-;1;1;5;2;-;1;2
231280;-;1;1;-;-;1;-;-;-;-;-;-
231290;16;14;19;21;15;12;19;10;18;18;23;18
231300;2;4;2;2;-;5;-;4;2;2;2;2
231310;-;2;4;2;1;2;6;4;5;2;5;6
231320;1;-;5;2;1;4;2;4;2;1;3;-
231325;-;-;1;2;-;-;-;1;-;2;-;-
231330;4;2;6;2;6;5;2;6;8;8;9;6
231335;1;2;3;-;2;-;3;-;-;1;-;-
231340;7;6;5;8;10;7;2;3;5;3;5;5
231350;1;4;1;6;3;4;6;2;6;7;4;3
231355;1;-;1;-;-;-;-;2;1;-;1;1
231360;3;1;3;-;2;2;6;3;-;5;1;2
231370;1;1;-;-;-;-;-;-;2;-;1;1
231375;3;2;-;2;-;2;1;3;1;1;-;2
231380;2;-;-;6;1;1;2;1;-;-;1;2
231390;-;-;-;-;4;-;1;1;-;1;-;-
231395;1;-;-;-;1;2;-;1;2;3;-;2
231400;1;1;2;-;2;3;-;2;3;1;4;1
231410;2;1;1;4;4;5;6;5;7;7;3;6
230000;-;-;-;-;-;-;-;-;-;1;1;-
