Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;-;-;1;-;-;1;-
230015;1;3;1;4;1;1;4;-;-;3;-;-
230020;9;2;9;3;8;-;2;2;3;7;2;2
230030;6;2;5;2;4;2;6;8;5;7;5;4
230040;1;3;-;1;2;1;1;4;-;1;2;-
230050;-;-;-;-;-;-;-;1;1;1;-;-
230060;-;-;2;-;1;-;1;-;-;1;-;2
230070;1;1;1;1;-;1;-;1;1;2;-;4
230075;1;2;3;1;-;1;2;1;1;1;5;3
230080;-;2;-;-;1;1;-;1;-;1;-;1
230090;1;2;1;1;1;1;1;1;-;1;1;2
230100;10;12;6;5;12;4;6;5;2;8;2;3
230110;6;2;8;1;6;-;3;3;3;5;1;1
230120;1;1;1;2;1;3;-;1;1;4;2;1
230125;1;-;-;-;-;-;-;1;1;-;-;-
230130;1;-;1;2;2;1;-;1;1;3;3;1
230140;-;2;2;1;2;-;-;1;1;3;-;3
230150;1;1;-;-;1;-;-;-;-;-;-;1
230160;2;1;1;1;1;-;2;1;2;-;3;1
230170;-;2;3;1;1;-;3;-;2;-;-;1
230180;1;-;-;-;-;1;-;-;1;-;1;-
230185;2;1;-;3;-;1;3;1;-;2;1;1
230190;1;2;2;4;4;2;6;1;5;3;5;3
230195;-;-;2;2;-;1;1;1;1;2;-;-
230200;3;1;-;-;2;1;2;-;1;2;-;2
230205;-;-;-;1;-;1;-;-;1;-;-;-
230210;1;3;-;-;-;2;4;1;-;3;5;3
230220;3;4;2;3;-;2;5;-;3;4;4;5
230230;-;1;2;-;2;-;1;1;1;1;4;3
230240;5;2;5;5;5;3;5;3;2;4;6;5
230250;4;5;3;3;2;3;5;4;1;5;2;3
230260;1;-;2;3;2;1;4;4;4;5;-;2
230270;-;2;2;1;1;3;1;1;1;-;2;2
230280;4;8;7;3;6;2;5;3;3;5;8;6
230290;-;-;-;1;1;1;1;2;-;1;2;2
230300;2;-;5;2;1;3;3;2;2;3;-;1
230310;-;2;1;-;1;1;1;2;-;-;1;3
230320;3;2;2;4;-;5;1;3;2;2;5;2
230330;-;1;1;1;-;2;2;2;2;-;1;3
230340;-;1;4;1;1;-;1;-;-;2;-;1
230350;6;4;4;7;5;3;5;1;2;2;2;2
230360;1;-;1;2;1;3;2;1;2;-;1;-
230365;1;-;1;2;-;1;-;-;3;1;-;-
230370;24;32;25;33;37;21;21;21;21;29;17;28
230380;-;1;1;2;4;3;1;-;2;2;3;-
230390;1;2;2;-;1;-;1;-;1;1;-;1
230393;2;-;-;-;2;1;2;4;2;1;-;-
