Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230870;3;2;7;7;4;2;5;3;5;9;4;4
230880;-;-;1;-;-;-;-;1;1;-;2;1
230890;-;2;1;1;-;1;5;3;4;2;2;3
230900;2;-;-;-;-;-;1;-;-;-;1;1
230910;2;-;2;-;-;-;-;-;3;2;2;2
230920;1;2;1;1;-;1;1;-;1;4;3;4
230930;6;3;1;6;1;2;-;2;4;2;4;2
230940;2;3;-;-;2;5;1;-;1;1;7;1
230945;-;2;6;2;-;2;-;1;1;-;1;2
230950;1;-;1;1;2;1;-;2;4;4;1;-
230960;4;3;2;4;3;4;6;1;6;2;3;6
230970;1;2;4;1;3;5;3;5;2;3;2;5
230980;2;1;1;-;2;1;-;2;-;-;1;-
230990;1;-;-;-;-;-;-;1;1;-;-;-
231000;2;-;1;-;2;1;1;1;-;-;-;2
231010;1;-;1;2;-;2;2;1;1;-;-;-
231020;5;2;1;-;5;3;2;-;3;2;3;2
231025;1;2;1;1;2;-;4;3;2;1;1;3
231030;2;1;-;1;-;2;3;2;1;4;-;3
231040;-;1;1;-;-;-;1;-;1;-;-;-
231050;6;5;2;5;5;3;1;4;1;7;4;5
231060;2;-;-;-;1;-;-;-;1;-;1;1
231070;2;2;1;1;1;1;6;8;4;4;2;3
231080;-;-;-;1;1;1;1;1;-;-;1;2
231085;2;2;1;2;1;-;3;-;2;1;2;1
231090;2;1;1;1;-;2;2;1;1;1;1;-
231095;-;-;3;-;-;-;1;-;2;-;-;1
231100;-;-;-;-;-;-;2;-;-;1;-;-
231110;1;-;-;-;-;2;3;1;-;1;1;1
231120;1;1;-;1;-;1;-;1;-;2;-;2
231123;-;-;2;-;-;-;-;-;-;1;-;-
231126;3;-;-;1;1;2;-;1;1;1;3;2
231130;2;5;6;10;12;8;7;7;10;5;7;9
231135;1;1;2;-;1;2;1;1;-;1;-;3
231140;4;3;2;3;8;10;4;4;5;7;1;4
231150;1;3;3;-;5;2;3;1;3;3;4;1
231160;3;1;2;1;4;-;2;1;2;4;1;2
231170;-;1;1;2;1;6;1;-;2;1;2;1
231180;4;4;5;4;6;5;8;2;5;5;5;4
231190;5;1;3;2;3;2;1;1;1;-;1;2
231195;2;1;1;1;1;2;1;1;2;-;2;3
231220;3;2;3;2;4;4;-;3;3;2;1;2
231200;3;2;1;2;6;4;4;1;1;2;-;-
231210;-;2;2;-;-;-;1;-;2;1;-;1
231230;5;-;1;5;3;4;5;4;1;4;1;2
231240;6;1;5;1;3;3;3;5;8;4;5;-
231250;-;-;1;-;-;-;2;-;1;1;2;-
