Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230870;-;-;1;1;3;4;4;3;2;2;2;1
230880;-;-;1;-;-;-;-;1;1;1;-;-
230890;-;1;1;-;-;1;-;1;1;-;-;-
230900;4;-;-;1;-;2;-;-;1;3;1;-
230910;1;-;1;-;-;-;-;-;-;-;-;-
230920;-;-;-;2;-;2;-;-;1;1;-;-
230930;1;-;2;1;-;-;4;-;-;1;1;-
230940;3;-;-;5;3;-;-;1;2;2;1;-
230945;1;1;-;1;2;1;1;1;1;-;1;-
230950;-;3;1;-;1;2;-;1;2;-;-;-
230960;3;2;-;-;1;3;-;1;3;1;3;2
230970;-;-;2;-;2;2;-;1;-;-;-;1
230980;-;-;1;-;-;2;1;-;-;-;1;-
230990;-;-;-;-;-;-;-;-;1;1;-;-
231000;-;1;1;-;-;1;-;-;-;1;-;-
231010;2;2;-;1;-;-;-;-;-;-;-;-
231020;1;-;-;-;-;2;1;2;-;-;1;-
231025;-;-;2;-;1;-;-;-;2;1;-;-
231030;2;1;-;2;1;1;-;-;2;1;1;2
231040;-;-;2;-;-;-;-;1;-;-;-;-
231050;1;4;1;3;2;-;3;4;-;2;2;1
231060;-;-;-;-;-;1;-;-;-;-;-;-
231070;-;1;3;2;1;-;2;1;2;1;1;2
231080;-;-;2;-;-;1;2;1;1;2;-;-
231085;-;-;1;-;1;1;-;-;-;-;-;-
231090;1;-;-;-;2;1;-;2;1;-;-;1
231095;-;-;-;1;-;1;1;-;-;-;1;1
231100;-;-;-;1;-;-;-;-;-;-;1;-
231110;-;-;2;-;-;-;1;-;1;-;1;1
231120;-;1;-;-;-;-;-;-;-;-;-;-
231123;-;-;-;-;-;-;-;-;-;1;-;-
231126;-;-;1;-;-;-;-;1;-;-;2;-
231130;4;2;2;1;1;2;3;3;1;2;2;2
231135;-;1;-;1;1;2;-;1;1;-;-;-
231140;-;2;2;5;4;3;5;1;1;-;3;3
231150;1;-;-;-;-;1;-;-;-;1;-;1
231160;-;1;2;2;3;2;-;3;2;2;1;1
231180;6;-;1;2;3;3;1;5;3;3;-;2
231190;-;1;-;1;-;-;-;-;-;2;-;4
231195;1;1;2;-;-;-;-;-;-;-;-;-
231220;1;-;-;1;1;-;1;5;2;2;2;-
231200;1;-;1;-;1;1;-;-;-;-;-;-
231210;-;-;1;1;1;1;-;-;-;1;-;-
231230;4;1;2;4;3;-;1;4;4;2;4;3
231240;3;2;2;-;-;-;-;-;1;1;-;-
231250;-;-;-;-;1;-;-;-;-;-;-;-
231260;-;-;-;-;-;-;-;2;-;-;-;1
231270;-;1;3;3;-;1;3;-;3;2;2;-
231280;-;-;-;-;-;-;1;-;-;-;-;-
231290;4;6;4;6;5;6;3;6;2;3;5;1
