Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;3;2;-;-;-;1;2;-;1;2;1;3
230015;3;3;1;3;3;3;-;3;2;2;-;3
230020;6;5;4;5;8;8;9;13;8;10;6;6
230030;14;7;13;5;8;15;10;8;6;14;12;11
230040;4;4;1;2;5;2;1;1;-;6;-;3
230050;-;7;-;1;3;-;-;-;2;-;-;1
230060;3;3;2;-;2;2;1;-;-;-;-;-
230070;3;1;2;1;3;3;2;2;1;3;1;3
230075;4;4;8;7;6;5;11;7;5;6;6;3
230080;1;2;2;2;2;1;-;1;2;-;1;1
230090;4;1;2;1;-;1;1;1;1;-;2;2
230100;4;14;6;8;13;15;7;7;11;9;9;9
230110;8;11;10;6;14;11;6;9;6;11;4;7
230120;3;3;5;3;4;3;9;6;3;3;3;3
230125;6;1;-;2;1;1;1;-;4;-;3;2
230130;4;5;3;2;6;3;6;1;2;6;5;4
230140;1;3;1;3;-;3;3;-;1;1;2;4
230150;1;2;-;-;-;1;-;1;-;-;3;-
230160;5;3;4;1;2;2;3;1;6;3;3;1
230170;5;4;6;6;2;3;4;4;7;5;2;5
230180;3;-;1;-;-;1;1;-;2;2;-;1
230185;8;1;1;1;3;3;3;1;2;2;1;1
230190;10;7;3;8;5;3;15;7;3;11;10;4
230195;3;4;3;4;1;1;2;-;5;5;1;5
230200;2;2;1;3;5;1;5;2;6;8;4;2
230205;6;2;4;7;-;3;4;1;5;-;3;1
230210;5;1;7;1;4;5;8;5;7;8;6;4
230220;5;9;12;3;6;13;8;7;9;6;6;3
230230;3;4;1;3;4;6;3;3;5;3;6;3
230240;18;5;9;11;12;12;6;12;14;8;8;6
230250;3;2;9;8;6;6;5;3;8;5;6;3
230260;10;8;9;7;8;7;8;4;9;15;3;5
230270;4;5;7;8;5;2;3;3;2;3;-;4
230280;14;13;18;14;13;10;14;11;10;12;16;4
230290;4;2;4;3;1;2;3;3;-;-;2;2
230300;4;6;3;1;3;5;3;-;1;5;4;1
230310;1;4;3;4;4;4;5;2;2;1;2;4
230320;7;4;6;2;5;6;9;3;3;4;5;2
230330;5;2;2;5;3;4;5;3;3;9;2;2
230340;2;-;2;5;5;1;1;2;3;4;-;4
230350;16;9;8;13;15;15;7;6;11;10;15;12
230360;-;2;4;3;3;3;2;3;1;3;1;2
230365;-;2;3;3;4;3;-;2;-;-;-;3
230370;39;30;29;44;28;35;28;26;21;34;29;26
230380;4;7;3;6;8;5;6;6;6;3;11;6
230390;1;1;2;-;2;1;1;2;2;1;2;4
230393;1;2;-;4;1;1;3;1;-;1;1;-
230395;4;3;3;6;1;1;3;1;5;2;3;1
230400;2;2;2;4;2;2;6;1;5;2;5;-
230410;16;12;17;13;19;13;9;9;10;15;12;9
230420;23;16;14;20;14;15;18;16;9;21;14;21
230423;2;2;4;4;3;5;2;4;1;-;2;3
230425;4;3;2;2;4;3;2;2;4;3;-;3
230426;3;2;3;1;3;2;3;7;1;2;1;4
230427;2;3;3;1;1;1;1;2;1;2;-;-
230428;7;8;5;4;4;7;8;7;3;4;5;6
230430;2;3;4;1;5;3;2;3;3;4;6;3
230435;3;-;3;2;6;3;1;1;1;3;-;1
230440;296;294;273;301;262;227;263;267;254;265;260;251
230445;2;2;4;1;2;1;4;1;1;1;-;3
230450;2;1;1;4;1;3;2;1;1;2;3;-
230460;1;1;2;-;1;2;1;-;1;1;1;1
230465;5;2;3;-;6;6;2;6;2;2;2;6
230470;6;5;4;7;5;4;5;5;4;6;5;3
230480;1;-;2;-;-;1;-;1;-;1;-;1
230490;2;1;1;1;-;-;1;1;-;1;-;1
