Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;1;-;-;2;-;-;1;1;1;1;1
230015;1;1;1;-;2;2;5;1;-;-;-;-
230020;4;4;2;7;3;2;3;4;3;3;2;2
230030;4;4;10;6;4;7;2;8;11;3;8;8
230040;3;1;1;1;2;2;-;-;2;-;2;-
230050;-;-;-;1;1;-;1;1;2;-;-;1
230060;1;1;1;1;-;-;-;1;1;1;-;1
230070;2;1;-;3;1;1;-;1;-;1;-;2
230075;1;2;1;2;2;3;1;2;2;4;2;2
230080;1;-;2;1;-;1;3;-;2;1;1;1
230090;1;1;1;-;2;1;1;2;3;1;1;3
230100;2;4;8;9;3;3;4;9;7;11;8;1
230110;7;5;4;6;4;7;8;4;6;1;5;2
230120;1;2;4;3;1;2;5;-;2;2;2;2
230125;-;-;1;1;3;2;1;1;-;3;1;4
230130;3;-;-;2;-;3;1;1;-;2;2;1
230140;-;-;2;1;-;1;1;-;-;-;-;2
230150;1;-;2;-;1;1;1;-;-;-;-;-
230160;3;1;1;3;-;1;-;1;2;2;1;2
230170;3;8;1;4;7;2;-;-;2;4;3;1
230180;-;-;2;1;1;-;1;-;2;2;-;-
230185;4;1;-;1;3;-;4;2;1;1;-;3
230190;4;3;8;6;13;4;7;10;6;5;9;8
230195;2;-;1;2;-;1;3;1;1;5;2;1
230200;1;3;3;1;3;1;2;2;1;5;2;2
230205;1;2;2;-;1;2;1;2;-;1;1;-
230210;4;2;4;2;4;-;4;5;3;5;3;4
230220;7;3;2;2;1;3;4;2;6;5;4;7
230230;4;2;-;5;4;3;2;2;1;3;1;2
230240;6;5;6;6;4;8;8;4;11;6;6;8
230250;3;8;5;5;4;4;1;4;1;1;5;2
230260;3;1;6;4;4;1;1;4;6;3;3;1
230270;2;1;3;4;4;5;2;2;1;1;3;2
230280;3;16;7;3;6;8;9;4;2;6;10;7
230290;1;3;-;1;1;-;1;3;-;1;-;3
230300;2;3;2;-;1;1;2;1;1;2;1;2
230310;2;2;-;-;2;3;1;1;1;2;2;-
230320;-;2;2;2;7;-;3;3;-;1;1;-
230330;2;3;2;3;1;1;2;1;-;3;2;1
230340;1;1;1;1;1;4;1;1;-;-;1;1
230350;5;6;4;8;9;7;2;7;6;8;9;3
230360;1;2;-;3;-;4;1;1;1;1;-;-
230365;1;1;1;2;-;1;-;-;1;-;1;-
230370;23;22;22;15;27;20;26;24;31;20;22;17
230380;2;2;1;3;2;1;2;4;2;3;1;4
230390;2;2;1;1;1;1;1;1;1;1;1;1
230393;1;-;2;-;-;1;2;4;2;-;1;-
230395;-;1;3;1;-;3;1;3;1;1;1;1
230400;1;1;1;2;1;3;3;2;1;4;1;3
230410;10;4;7;10;9;6;6;7;5;9;9;6
230420;16;6;5;12;7;13;11;9;7;11;13;10
230423;2;2;1;2;1;-;-;1;-;1;-;-
230425;-;1;1;5;1;-;-;1;2;3;1;2
230426;2;-;-;1;-;-;3;1;-;-;1;1
230427;-;-;-;3;-;-;1;1;-;1;-;-
230428;10;1;5;5;3;5;3;3;6;5;2;3
230430;-;1;3;3;2;-;2;4;4;5;2;5
230435;3;-;1;3;2;-;-;-;1;1;4;2
230440;218;240;199;216;247;240;236;248;213;224;242;284
230445;1;1;-;2;1;1;1;2;1;1;-;2
