Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230890;-;3;-;1;1;1;-;-;-;-;-;-
230900;-;-;-;1;2;-;3;1;1;2;2;-
230910;-;-;-;-;-;-;-;-;-;1;-;-
230920;-;-;-;1;1;-;-;1;1;-;-;-
230930;1;3;3;4;1;-;2;4;3;2;-;3
230940;1;-;-;1;-;-;1;-;-;1;-;1
230945;1;3;1;1;3;-;3;2;5;-;3;-
230950;3;-;1;-;3;-;2;-;-;2;3;1
230960;1;1;6;3;1;1;1;1;2;2;1;2
230970;4;-;-;1;-;1;4;2;2;1;4;3
230980;1;-;1;1;-;1;-;-;-;-;1;1
230990;-;1;-;-;1;1;2;1;-;1;-;-
231000;-;1;-;-;1;1;1;-;1;-;-;-
231010;-;-;-;-;-;1;-;1;1;-;2;1
231020;1;1;2;-;3;1;3;3;-;1;2;1
231025;4;-;1;3;1;2;1;1;3;2;2;1
231030;1;1;3;-;2;1;-;4;1;4;1;2
231040;-;1;-;1;-;1;1;-;1;1;3;-
231050;3;-;-;-;2;1;1;1;1;1;-;-
231060;1;1;1;1;-;-;-;-;-;-;1;-
231070;1;2;2;4;1;2;2;2;1;-;2;3
231080;-;1;2;1;3;-;1;-;-;1;-;-
231085;-;1;2;1;1;-;3;1;1;-;1;1
231090;-;-;-;2;3;-;-;1;-;2;1;-
231095;-;1;-;-;1;-;-;1;1;1;1;-
231100;-;-;1;-;-;-;-;1;1;2;1;-
231110;-;2;-;1;-;2;1;1;-;-;-;-
231120;-;-;-;-;-;-;-;-;1;-;1;-
231123;-;-;-;2;-;-;-;-;-;1;-;1
231126;-;-;1;-;-;-;-;-;-;-;2;2
231130;1;3;2;3;4;3;7;4;2;5;1;5
231135;1;-;-;1;-;2;-;-;-;1;1;-
231140;3;3;4;1;5;5;3;4;2;5;3;-
231150;1;-;1;-;3;-;-;1;1;-;1;-
231160;3;2;-;2;1;-;-;1;-;1;2;3
231170;1;-;4;1;3;1;2;-;1;-;2;1
231180;4;4;5;2;3;2;2;4;2;4;3;3
231190;-;1;-;1;2;-;-;-;-;-;-;-
231195;-;-;1;1;1;-;1;2;1;-;1;-
231220;-;2;-;2;3;1;-;-;3;2;1;2
231200;3;2;2;2;1;3;-;1;2;1;6;3
231210;1;-;-;1;1;2;-;-;-;1;2;1
231230;3;-;2;1;1;-;2;5;2;3;2;3
231240;1;4;-;1;2;1;1;-;3;1;1;1
231250;1;-;-;1;-;-;1;1;1;-;1;-
231260;-;-;-;-;2;2;-;1;-;1;2;-
231270;1;2;-;-;4;-;2;-;-;3;1;2
231280;1;-;1;-;-;-;-;-;-;-;-;-
231290;9;14;13;19;14;6;6;14;12;7;7;9
231300;1;2;1;2;1;-;2;-;-;-;1;-
231310;6;4;1;2;2;3;2;1;4;5;1;1
231320;2;1;2;1;1;-;2;-;1;-;1;5
231325;-;1;-;-;-;-;1;-;-;-;-;-
231330;1;2;1;3;-;2;1;4;-;-;2;1
231335;3;1;1;1;-;1;1;4;-;1;1;2
231340;2;6;2;3;5;3;3;1;2;5;3;3
231350;1;1;2;2;3;2;2;2;5;2;-;2
231355;-;-;-;-;-;-;-;1;1;-;2;1
231360;1;1;2;3;2;1;2;3;1;2;3;2
231370;1;1;-;1;-;-;1;2;-;-;-;-
231375;-;1;-;-;-;-;-;-;1;1;1;-
231380;-;1;2;1;-;1;-;1;-;-;2;-
231390;1;-;2;-;3;-;-;-;-;-;-;-
231395;1;-;-;1;3;1;2;2;2;2;1;1
231400;1;3;4;2;1;1;1;2;1;1;3;1
231410;3;1;2;5;4;2;3;2;3;2;2;3
