Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;1;1;-;4;2;1;2;-;1;1;-
230015;4;2;6;3;2;-;2;2;2;2;4;3
230020;12;5;9;10;10;13;8;5;6;4;2;3
230030;11;5;12;10;16;11;7;12;5;7;6;11
230040;3;3;1;4;-;2;2;1;3;3;1;2
230050;2;2;1;-;-;1;4;1;-;2;1;2
230060;1;-;-;1;1;3;3;2;5;2;-;3
230070;4;2;3;-;1;1;2;4;2;8;3;1
230075;3;4;5;4;3;2;8;6;4;5;5;6
230080;1;-;1;2;1;2;-;-;2;2;3;-
230090;1;-;1;3;2;4;3;1;1;3;3;1
230100;11;8;10;2;12;9;9;5;9;9;8;7
230110;5;8;9;9;14;10;8;11;6;11;9;6
230120;3;3;3;6;2;3;3;6;5;5;3;3
230125;2;-;3;2;4;2;-;-;1;5;2;3
230130;2;7;3;3;1;4;1;1;1;2;2;4
230140;2;3;2;1;1;1;3;1;2;3;3;-
230150;2;-;-;-;-;1;1;2;1;1;2;2
230160;7;1;4;3;4;5;4;2;2;2;6;4
230170;1;1;8;2;4;5;3;7;2;8;1;3
230180;1;-;-;-;1;1;1;1;2;2;1;-
230185;2;1;-;1;2;1;-;1;3;3;2;-
230190;9;8;9;6;7;10;9;6;14;10;9;6
230195;3;4;2;1;4;3;1;1;2;-;2;2
230200;4;1;2;4;1;3;3;2;4;2;2;3
230205;5;2;3;3;5;4;3;-;1;3;3;1
230210;7;3;6;4;6;3;7;4;2;4;4;9
230220;4;8;9;6;4;9;5;11;8;7;8;8
230230;1;4;2;5;3;7;2;6;5;-;3;4
230240;11;9;13;9;7;11;7;8;6;8;1;13
230250;5;7;5;9;5;11;5;7;9;11;9;6
230260;6;12;12;3;8;5;9;7;10;9;6;6
230270;3;4;1;4;6;5;2;10;4;8;3;2
230280;5;7;8;8;21;10;12;10;17;15;12;10
230290;1;4;5;9;3;5;3;3;4;2;1;1
230300;2;2;4;7;2;3;4;1;3;2;-;2
230310;1;2;4;5;3;3;1;-;4;4;3;4
230320;1;3;9;4;9;3;1;2;6;3;1;3
230330;6;4;3;3;4;5;3;3;1;2;2;3
230340;4;6;1;5;5;2;2;1;-;1;4;2
230350;10;9;9;11;5;13;12;7;13;8;8;16
230360;4;1;3;1;3;4;1;3;1;6;2;4
230365;-;3;1;2;1;3;1;2;2;3;3;3
230370;41;34;35;31;30;38;32;31;30;30;38;23
230380;4;5;2;5;6;3;3;4;9;3;2;5
230390;3;2;1;1;4;1;1;-;6;3;3;-
230393;1;2;1;4;1;-;-;-;2;2;1;1
230395;1;2;-;6;3;-;2;2;1;2;2;5
230400;3;6;3;2;-;2;1;5;4;1;3;2
230410;16;11;11;25;21;13;12;16;9;13;14;12
230420;21;15;15;13;24;24;18;13;17;24;15;18
