Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;2;1;1;-;2;1;2;2;2;1;1;-
230015;2;2;3;1;2;2;1;2;2;3;2;-
230020;5;9;9;6;7;8;9;6;2;2;7;10
230030;13;13;11;7;9;8;7;9;13;9;5;5
230040;3;1;1;-;3;2;4;2;2;1;3;5
230050;-;3;3;1;-;1;1;2;-;2;1;2
230060;1;3;1;1;-;1;2;1;-;-;1;1
230070;3;2;3;2;3;2;1;-;1;2;-;2
230075;2;-;5;3;7;4;2;3;2;3;4;6
230080;2;3;1;-;3;3;-;5;2;-;2;1
230090;1;2;1;-;-;2;1;-;1;-;2;-
230100;11;12;14;7;10;6;7;8;13;10;13;7
230110;6;10;6;5;14;3;13;13;8;4;5;3
230120;6;3;3;2;6;5;1;2;1;2;6;3
230125;3;1;3;-;1;-;-;5;3;4;1;1
230130;6;6;4;2;5;6;3;11;7;9;4;4
230140;2;1;1;-;1;-;-;-;1;2;1;-
230150;1;1;1;1;2;-;-;1;-;-;-;-
230160;1;3;6;2;3;3;2;2;3;4;1;6
230170;6;4;5;5;4;8;2;5;4;4;5;5
230180;1;3;2;1;-;1;1;1;1;1;-;3
230185;4;2;-;3;3;2;2;2;1;2;1;1
230190;9;8;6;14;4;7;9;11;7;14;5;12
230195;2;1;2;3;2;4;-;4;4;2;2;1
230200;1;4;6;4;4;3;5;1;5;5;3;5
230205;2;2;2;3;4;1;4;7;2;1;1;6
230210;4;7;3;7;8;2;5;8;9;6;5;1
230220;7;6;5;4;6;7;4;2;9;7;9;7
230230;1;3;7;7;6;3;3;1;2;1;3;2
230240;5;5;8;5;9;6;11;9;7;7;10;13
230250;6;4;3;1;4;5;10;5;5;4;3;5
230260;13;7;7;15;3;4;10;8;12;1;8;8
230270;4;13;4;5;3;6;5;5;1;3;2;2
230280;13;10;14;10;6;12;15;18;12;9;17;13
230290;-;1;1;2;3;3;-;4;1;1;1;2
230300;3;4;3;1;2;2;1;2;-;4;2;-
230310;4;1;1;1;4;3;2;2;2;1;3;4
230320;3;2;7;2;6;6;3;8;3;-;5;7
230330;6;3;7;1;1;3;5;3;5;4;2;5
230340;2;1;5;4;6;-;2;5;1;3;4;2
230350;12;8;14;1;11;11;10;7;7;5;7;6
230360;3;-;-;2;3;2;1;-;1;1;2;1
230365;5;1;2;-;3;2;1;1;-;-;2;1
230370;33;21;32;33;22;35;40;30;23;24;25;37
230380;8;1;3;4;7;4;6;4;3;2;8;3
230390;-;1;-;-;2;-;3;-;1;3;2;-
230393;1;1;2;2;2;1;3;2;3;1;2;3
230395;3;-;4;6;2;5;2;3;3;1;3;7
230400;5;1;1;4;5;3;2;2;1;3;4;3
230410;3;16;16;17;15;10;15;9;14;14;14;9
230420;11;10;21;15;15;13;5;10;12;11;9;9
230423;3;1;2;-;2;-;5;1;2;2;1;4
230425;3;6;3;6;2;3;3;3;3;4;1;4
230426;2;-;1;2;2;-;1;-;-;4;-;2
230427;1;2;5;1;-;1;2;-;-;1;1;2
230428;9;6;4;6;8;2;3;3;6;4;4;7
230430;6;3;2;1;2;3;4;3;3;2;5;1
230435;4;2;2;3;1;3;2;6;4;1;2;2
230440;293;248;259;243;241;252;233;255;244;283;257;286
230445;2;-;3;-;1;2;2;1;-;-;-;-
230450;4;1;1;3;-;-;1;2;2;1;1;-
230460;-;1;2;-;1;-;-;1;3;1;-;1
230465;3;7;1;-;2;2;1;4;3;7;4;3
230470;7;4;9;6;2;5;3;8;5;5;7;5
230480;1;-;2;-;3;-;-;1;-;-;-;-
230490;2;1;1;-;1;1;1;-;-;-;1;2
230495;5;3;1;5;6;4;-;7;-;3;-;-
230500;8;4;11;8;7;5;5;7;5;11;3;6
230510;1;2;-;-;1;-;-;-;-;-;1;-
230520;3;2;5;1;1;5;3;4;4;1;1;-
230523;1;5;5;5;1;2;2;9;6;7;2;5
230526;2;1;-;-;4;2;3;3;1;1;2;2
230530;8;-;5;4;5;4;1;6;9;5;4;1
230533;1;1;-;-;4;1;2;4;1;1;-;1
230535;1;-;-;1;4;3;1;2;4;3;1;2
230540;6;10;13;7;7;13;6;9;10;11;13;9
230550;10;10;6;20;18;9;21;16;15;18;11;8
230560;5;6;4;7;2;8;5;-;3;5;5;2
230565;1;2;1;3;-;3;2;1;-;2;3;-
230570;2;1;-;1;-;3;1;2;4;2;1;4
230580;5;7;1;11;10;13;4;6;6;5;7;17
230590;6;8;8;6;7;15;7;5;7;1;5;11
230600;3;1;-;4;1;1;1;1;1;1;3;1
230610;4;1;3;3;3;2;3;2;4;-;2;6
230620;1;3;-;3;1;3;2;2;-;1;1;2
230625;9;3;4;4;6;4;6;1;4;4;1;5
230630;6;10;8;4;8;3;6;6;4;5;4;6
230640;19;22;19;18;19;11;18;14;15;11;8;19
230650;2;1;3;1;3;1;-;-;3;2;3;3
230655;3;6;1;10;2;5;2;6;4;3;3;4
230660;4;6;5;2;1;1;4;1;2;3;1;4
230670;2;1;5;2;2;4;3;2;3;-;3;4
230680;1;-;2;-;5;1;-;-;-;1;2;2
230690;5;10;13;4;5;3;7;6;1;10;8;3
230700;1;3;3;4;3;3;3;3;4;2;6;-
230710;3;2;4;7;5;5;4;4;5;3;2;5
230720;-;-;-;1;2;2;-;1;-;-;-;-
230725;2;-;1;2;-;3;2;1;1;-;2;4
230730;40;32;37;30;42;33;49;33;34;37;39;38
230740;4;6;3;2;6;6;1;2;3;7;2;4
230750;4;7;6;3;7;5;7;10;5;9;9;11
230760;7;2;7;10;10;2;5;8;9;8;7;11
230763;6;2;4;3;5;3;-;1;2;1;2;2
230765;28;15;18;21;18;10;11;16;16;18;18;20
230770;8;13;14;16;15;11;7;11;16;11;7;17
230780;2;5;5;1;1;5;2;1;2;3;1;2
230790;1;2;1;3;1;3;1;-;-;-;1;2
230800;3;2;1;2;5;4;2;3;3;1;8;2
230810;8;2;7;-;2;-;2;4;8;4;3;3
230820;3;5;2;1;1;2;-;-;3;-;1;1
230830;4;2;3;-;-;-;1;3;2;5;4;5
230835;2;4;4;1;3;2;5;-;1;1;1;2
230837;1;1;-;5;2;-;1;2;1;4;2;1
230840;6;7;5;1;8;1;3;7;8;3;4;-
230850;4;5;11;10;5;9;4;8;4;6;8;5
230860;3;2;2;5;4;2;2;5;4;3;6;-
230870;8;10;10;9;5;6;12;7;7;8;4;10
230880;-;1;4;3;3;-;1;-;1;-;1;1
230890;1;2;-;-;1;1;2;1;3;4;2;1
230900;2;2;3;1;2;1;3;1;5;3;2;7
230910;1;1;3;-;2;1;-;1;3;-;3;1
230920;3;1;2;6;3;3;1;6;3;2;1;3
230930;3;3;9;7;4;9;6;3;5;5;4;2
230940;12;4;6;-;3;3;9;4;2;3;6;4
230945;4;1;1;3;5;4;4;2;3;3;5;6
230950;10;2;8;5;2;3;6;5;3;5;5;4
230960;6;5;8;6;2;6;3;3;9;1;5;7
230970;3;6;8;4;6;6;5;7;5;6;6;6
230980;3;-;1;2;1;1;3;-;1;4;1;1
230990;3;1;1;2;2;-;4;1;1;1;-;2
231000;1;2;1;-;2;1;3;2;1;2;1;1
231010;3;4;-;1;3;1;2;4;1;1;2;3
231020;7;2;5;7;5;6;4;7;2;1;10;5
231025;1;3;3;1;-;4;3;1;7;2;2;8
231030;1;2;4;5;5;1;2;4;5;5;5;2
231040;2;-;-;-;2;2;2;2;1;-;2;2
231050;8;11;7;10;11;1;5;4;6;7;9;8
231060;2;2;1;1;1;1;1;3;2;-;1;2
231070;3;6;4;7;5;5;3;5;3;3;5;3
231080;2;2;1;2;5;2;1;7;1;6;6;2
231085;2;1;2;-;1;-;4;2;4;1;3;4
231090;7;5;1;4;4;1;-;4;6;5;1;4
231095;1;-;2;2;3;2;3;-;2;-;2;-
231100;2;2;3;2;6;3;4;3;2;2;3;5
231110;3;1;1;1;2;1;3;2;1;4;-;1
231120;3;2;1;-;-;4;5;1;2;1;-;-
231123;-;1;1;2;1;2;-;4;3;-;1;-
231126;6;3;1;2;4;4;3;4;1;6;4;3
231130;13;15;11;7;12;8;12;11;7;11;4;8
231135;3;-;1;3;2;4;2;4;3;-;4;2
231140;13;9;10;9;7;5;16;12;9;8;10;8
231150;2;1;2;1;3;2;4;2;1;5;1;3
231160;2;8;3;4;3;3;6;4;3;5;4;3
231170;4;3;2;1;-;1;1;2;3;6;-;5
231180;5;4;9;9;12;8;5;8;11;9;14;12
231190;3;1;2;2;-;5;4;1;3;1;4;4
231195;-;1;1;4;2;3;4;2;1;4;2;5
231220;5;7;3;4;5;6;10;6;5;9;3;3
231200;4;2;4;4;3;-;7;2;5;2;4;1
231210;4;3;4;1;3;1;3;3;1;4;1;1
231230;14;6;8;6;9;11;8;9;8;10;3;7
231240;3;8;3;6;3;11;4;5;9;2;4;8
231250;1;1;3;2;2;2;2;2;2;2;-;-
231260;3;-;1;1;-;-;-;1;1;2;2;2
231270;6;3;9;3;5;4;9;3;4;7;5;5
231280;-;1;-;-;-;1;1;-;3;-;-;1
231290;11;14;14;12;17;14;16;14;18;17;21;19
231300;4;8;2;4;-;4;1;1;3;-;2;5
231310;4;3;3;2;4;1;5;4;7;3;7;5
231320;3;4;3;3;2;2;3;3;3;1;5;3
231325;-;2;-;-;2;-;2;1;1;-;-;1
231330;7;5;15;5;9;11;6;16;16;15;2;14
231335;2;1;4;2;1;4;-;4;-;-;2;1
231340;4;14;8;13;11;6;9;15;9;11;16;9
231350;7;5;10;8;6;6;5;5;6;3;7;8
231355;1;-;4;5;3;1;1;1;-;1;4;3
231360;2;8;7;4;5;3;7;3;6;4;5;11
231370;2;-;3;2;1;-;4;1;-;-;3;-
231375;5;2;1;1;4;-;2;2;1;2;1;2
231380;3;3;3;4;2;2;6;3;3;1;4;4
231390;-;-;1;2;2;1;1;1;-;1;1;6
231395;1;1;7;3;4;3;1;7;2;5;3;5
231400;8;7;13;12;12;9;6;6;19;7;6;7
231410;10;6;8;8;7;6;6;6;4;6;7;9
230000;1;-;-;-;-;-;-;-;-;-;-;-
