Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230960;-;2;1;1;2;1;1;-;1;-;1;-
230970;1;1;-;-;2;-;2;1;1;1;2;-
230980;-;-;-;-;-;-;-;-;-;1;-;-
230990;-;1;-;-;-;-;-;1;-;-;-;-
231000;-;1;-;-;-;-;-;-;-;-;-;-
231010;-;2;-;-;-;-;-;1;-;-;-;1
231020;3;-;-;-;-;-;1;1;-;1;1;-
231025;-;2;-;-;1;-;-;-;-;1;-;-
231030;-;-;-;-;-;2;1;-;-;2;-;-
231040;1;1;1;-;-;1;-;-;-;-;1;-
231050;-;-;3;2;2;4;-;1;-;-;-;1
231060;1;-;-;-;-;-;-;1;-;-;-;-
231070;1;-;-;1;-;1;1;1;1;-;-;-
231080;-;-;-;-;-;-;-;-;2;-;-;1
231085;2;2;-;-;-;1;-;1;-;-;2;-
231090;-;-;-;1;1;-;-;-;-;-;-;-
231095;-;1;-;1;-;-;-;1;-;-;-;-
231100;-;-;-;-;-;-;1;-;-;-;-;-
231110;1;1;1;2;-;-;-;-;-;1;-;-
231120;-;-;-;-;-;-;1;-;-;-;-;-
231126;-;-;-;-;-;-;-;-;-;-;-;1
231130;2;1;3;3;2;2;-;1;1;2;2;1
231135;-;-;-;-;1;1;-;-;1;-;-;-
231140;2;3;1;1;2;1;-;-;1;2;-;2
231150;-;-;-;1;1;-;-;-;-;1;-;-
231160;-;1;1;-;-;1;-;-;-;-;1;1
231170;-;-;1;-;1;-;2;-;-;-;-;1
231180;-;4;-;1;3;2;1;1;1;1;-;4
231190;-;-;-;-;-;-;-;-;1;-;1;1
231195;-;2;1;-;1;-;-;-;-;-;-;-
231220;1;-;-;1;-;1;-;2;1;-;2;1
231200;1;-;2;1;-;-;1;-;-;1;-;1
231210;1;-;-;1;-;-;-;-;-;1;-;1
231230;2;-;1;2;1;2;1;3;-;1;1;-
231240;2;2;-;-;-;-;-;3;-;-;1;2
231250;-;-;-;-;-;1;-;1;-;-;-;-
231260;1;1;-;-;-;-;-;-;-;-;-;1
231270;1;1;1;-;1;-;-;-;-;-;-;-
231280;1;1;-;-;-;-;-;-;-;-;-;-
231290;3;3;9;3;4;2;4;4;2;4;8;4
231300;-;-;-;-;-;-;1;-;-;-;-;-
231310;1;1;-;-;-;-;-;-;-;-;-;1
231320;2;-;-;-;-;-;-;1;-;-;1;-
