Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
231040;-;1;2;-;-;1;-;-;-;-;-;1
231050;1;-;-;-;-;-;-;1;1;-;-;1
231070;-;2;-;-;1;-;-;-;-;-;-;-
231085;-;-;-;-;-;1;-;-;-;-;-;-
231090;1;-;-;-;-;-;-;-;-;-;-;-
231095;-;-;-;-;-;-;-;1;-;-;-;-
231100;1;-;1;1;-;-;-;1;1;-;-;-
231110;-;-;-;-;-;-;1;-;-;-;-;-
231120;-;-;1;1;-;-;-;-;-;-;-;-
231126;-;-;-;-;-;-;-;2;1;-;-;-
231130;-;3;1;1;3;1;1;4;-;-;-;2
231135;-;1;-;-;-;1;-;-;-;-;-;-
231140;-;-;-;2;1;1;-;1;-;1;-;1
231150;1;1;-;1;-;-;-;-;-;-;-;-
231160;1;-;-;1;-;-;-;-;-;-;1;-
231170;-;2;-;-;1;1;1;-;2;-;-;-
231180;1;1;1;1;-;-;-;-;2;-;1;-
231190;-;-;1;-;-;-;1;-;-;-;-;-
231195;-;-;-;-;-;-;1;-;-;1;-;-
231220;-;1;2;1;-;-;-;-;1;-;-;-
231200;2;4;1;-;-;-;2;-;-;1;-;-
231210;-;-;-;-;-;1;-;-;-;-;1;-
231230;1;-;-;-;-;-;1;-;-;2;-;-
231240;-;-;-;1;2;1;-;-;-;-;-;1
231250;-;-;-;-;-;-;-;-;-;1;-;-
231270;-;2;1;-;-;-;-;-;2;-;1;-
231290;1;2;4;2;1;2;2;3;2;3;2;5
231300;-;-;-;-;1;-;-;-;-;-;2;-
231310;2;-;-;-;1;-;2;-;1;-;-;-
231320;1;-;-;1;-;-;2;-;-;-;-;-
231325;1;-;-;-;-;-;-;1;-;-;1;-
231330;-;1;-;-;1;1;-;2;1;1;-;-
231335;-;-;-;-;-;-;-;-;-;-;1;1
231340;2;-;2;1;-;1;1;2;2;1;-;-
231350;1;-;1;1;-;1;-;-;-;-;-;2
231355;-;-;1;1;-;-;-;-;-;-;-;-
231360;1;-;3;-;1;-;-;-;1;-;-;1
231375;-;-;-;-;2;-;1;-;-;-;-;-
231380;-;-;-;-;1;1;-;-;-;-;-;1
231390;-;-;-;-;-;-;-;1;-;-;-;-
231400;-;-;1;-;-;-;-;2;1;-;1;-
231410;1;-;-;-;-;1;-;-;-;1;1;1
